Exit,TOP-1,TOP-5,Loss
Exit_1,18.5210987261147,61.5445859872611,2.25471256341145
Exit_2,20.3324044585987,63.4952229299363,2.25292931696412
Exit_3,27.8463375796178,74.4128184713376,2.19786529176554
Exit_4,25.3184713375796,67.9239649681529,2.21742656276484
Exit_5,26.5625,57.5636942675159,2.22578681502373
Exit_6,39.4904458598726,78.9311305732484,2.09487183914063
Exit_7,42.5557324840764,82.6234076433121,2.08154585634827
Exit_8,39.5700636942675,77.4582006369427,2.10870005370705
Exit_9,51.8212579617834,77.9458598726115,1.96541800392661
Exit_10,55.563296178344,85.1214171974522,1.93140688215851
Exit_11,51.1743630573248,70.9792993630573,1.96648570686389
Exit_12,85.6588375796178,99.3232484076433,1.61348374406244
Exit_13,89.2217356687898,99.6019108280255,1.5804326868361
Exit_14,92.3566878980892,99.890525477707,1.54580464636444
Exit_15,97.4024681528663,99.8805732484076,1.48704338757096
Exit_16,97.7906050955414,99.9402866242038,0.153658568954012
