Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,23.935111464968152,51.53264331210191,3.272376771185808
Exit_2,25.666799363057326,54.677547770700635,3.1686803626406723
Exit_3,35.42993630573248,66.6500796178344,2.657750363562517
Exit_4,39.052547770700635,70.33240445859873,2.46798417978226
Exit_5,40.20700636942675,72.12380573248407,2.4012113733656086
Exit_6,47.30294585987261,78.14490445859873,2.0701667867648372
Exit_7,52.98566878980892,82.42436305732484,1.814129375348425
Exit_8,57.7328821656051,85.95740445859873,1.6232312697513847
Exit_9,74.25358280254777,94.37699044585987,0.9206244076133534
Exit_10,76.95063694267516,95.41202229299363,0.8197713720191057
Exit_11,80.18511146496816,96.4171974522293,0.7163500330250734
Exit_12,84.72332802547771,97.36265923566879,0.5627651852407273
Exit_13,86.52468152866243,97.98964968152866,0.5489425149503028
