Exit,TOP-1,TOP-5,Loss
Exit_1,1.01512738853503,4.6875,4.60532108233992
Exit_2,1.13455414012739,5.5234872611465,4.60509562947948
Exit_3,1.61226114649682,6.01114649681529,4.60506118179127
Exit_4,1.14450636942675,5.44386942675159,4.60506689168845
Exit_5,1.03503184713376,6.31966560509554,4.6050475266329
Exit_6,1.68192675159236,7.03622611464968,4.60460473929241
Exit_7,2.31886942675159,7.44426751592357,4.60462944067208
Exit_8,1.78144904458599,7.23527070063694,4.60481810114186
Exit_9,4.62778662420382,8.0015923566879,4.57779965734786
Exit_10,5.19506369426752,7.51393312101911,4.57171892360517
Exit_11,3.49323248407643,8.89729299363057,4.5875176775987
Exit_12,16.8093152866242,20.3921178343949,4.46061973814752
Exit_13,16.5406050955414,19.3073248407643,4.46044491506686
Exit_14,20.3722133757962,22.7906050955414,4.42432104706005
Exit_15,47.6910828025478,52.9359076433121,4.14687880437086
Exit_16,86.1066878980892,97.671178343949,0.571833821428809
