Exit,TOP-1,TOP-5,Loss
Exit_1,34.2157643312102,86.2957802547771,2.22742847879981
Exit_2,33.9271496815287,87.0123407643312,2.22636946599195
Exit_3,41.1624203821656,89.7790605095542,2.18821131955286
Exit_4,42.5656847133758,89.9283439490446,2.18328382862601
Exit_5,45.1532643312102,90.953423566879,2.16931348393677
Exit_6,52.438296178344,93.1429140127389,2.09099073926355
Exit_7,55.2846337579618,93.9390923566879,2.06143645344266
Exit_8,56.2400477707006,94.5362261146497,2.05510026254472
Exit_9,63.1667993630573,96.7754777070064,1.95584942353
Exit_10,68.7798566878981,97.6214171974522,1.89714040801783
Exit_11,73.1687898089172,98.3976910828025,1.84767198714481
Exit_12,87.2710987261146,99.6218152866242,1.64696506937598
Exit_13,90.0875796178344,99.7710987261146,1.61253629140793
Exit_14,92.8144904458599,99.9203821656051,1.57290054886204
Exit_15,97.5417993630573,99.9502388535032,1.49555959215589
Exit_16,97.7906050955414,99.9402866242038,0.153658568954012
