Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,20.34235668789809,43.769904458598724,3.741950422335582
Exit_2,21.576433121019107,45.99920382165605,3.6593451666983827
Exit_3,29.71735668789809,55.89171974522293,3.181321279258485
Exit_4,32.016321656050955,58.767914012738856,3.0533081505708632
Exit_5,32.991640127388536,59.85270700636943,3.0038373743652538
Exit_6,38.55493630573248,65.31648089171975,2.7194903959893875
Exit_7,42.77468152866242,69.82484076433121,2.509626035477705
Exit_8,46.048964968152866,72.96974522292993,2.3293198058559637
Exit_9,60.87778662420382,83.15087579617834,1.6281640366384178
Exit_10,63.61464968152866,85.2906050955414,1.4864408681347112
Exit_11,66.79936305732484,87.33081210191082,1.3501465660371599
Exit_12,72.68113057324841,89.99800955414013,1.1182678176718912
Exit_13,76.63216560509554,92.20740445859873,1.001743938323039
