Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,18.09315286624204,41.06289808917197,3.8759052146012616
Exit_2,19.23765923566879,42.41640127388535,3.8158665903054985
Exit_3,26.49283439490446,52.11982484076433,3.3661675020387976
Exit_4,29.020700636942674,54.99601910828026,3.2310618891078198
Exit_5,29.74721337579618,55.75238853503185,3.1843491823050627
Exit_6,30.264729299363058,56.68789808917197,3.155852204675128
Exit_7,35.25079617834395,62.261146496815286,2.8879119636146884
Exit_8,39.01273885350319,66.79936305732484,2.67142726129787
Exit_9,43.16281847133758,70.27269108280255,2.4947375955095716
Exit_10,59.21576433121019,82.4343152866242,1.6777618098410831
Exit_11,62.99761146496815,85.2109872611465,1.4990038376325254
Exit_12,66.60031847133757,87.19148089171975,1.3431728260152658
Exit_13,67.58558917197452,87.9578025477707,1.288978378104556
Exit_14,68.91918789808918,88.61464968152866,1.2487491111087192
Exit_15,75.109474522293,91.50079617834395,1.022870409640537
Exit_16,78.6624203821656,93.52109872611464,0.9057838603569444
