Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,17.90406050955414,40.49562101910828,3.8945700955239073
Exit_2,18.77985668789809,42.1875,3.8338609455497403
Exit_3,26.701831210191084,52.08996815286624,3.3676081531366724
Exit_4,28.821656050955415,54.697452229299365,3.237281750721537
Exit_5,29.88654458598726,55.77229299363057,3.188672105218195
Exit_6,33.92714968152866,61.04697452229299,2.9494513174530805
Exit_7,38.16679936305732,65.53542993630573,2.7277384381385366
Exit_8,42.167595541401276,69.32722929936305,2.5503045259767276
Exit_9,43.55095541401274,70.64092356687898,2.4789256032105462
Exit_10,59.42476114649681,82.3546974522293,1.7007846836071865
Exit_11,62.878184713375795,84.97213375796179,1.5235079752791458
Exit_12,66.39132165605096,87.18152866242038,1.360346171506651
Exit_13,67.78463375796179,87.85828025477707,1.3020176824870382
Exit_14,68.83957006369427,88.45541401273886,1.262949525740496
Exit_15,69.36703821656052,88.67436305732484,1.2413618016015193
Exit_16,75.20899681528662,91.43113057324841,1.0157285995164496
Exit_17,78.8017515923567,93.54100318471338,0.9118510061388563
