Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,19.23765923566879,44.5859872611465,4.553521025712323
Exit_2,21.38734076433121,48.88535031847134,4.548236704176398
Exit_3,29.07046178343949,59.57404458598726,4.498888489547049
Exit_4,31.946656050955415,62.97770700636943,4.478675456563378
Exit_5,32.792595541401276,64.7392515923567,4.471680337456381
Exit_6,38.89331210191083,70.57125796178345,4.423709070606596
Exit_7,44.5859872611465,75.71656050955414,4.3678996608515455
Exit_8,50.009952229299365,80.93152866242038,4.3209905594017854
Exit_9,71.73566878980891,93.03343949044586,4.028552422857588
Exit_10,75.21894904458598,94.71536624203821,3.9767644997614964
Exit_11,78.8017515923567,96.1484872611465,3.927155857632874
Exit_12,79.46855095541402,96.29777070063695,3.910707361379247
Exit_13,85.41003184713375,97.45222929936305,3.8084729325239826
Exit_14,86.71377388535032,97.89012738853503,0.5580002282075821
