Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,18.700238853503183,43.90923566878981,4.562340374964817
Exit_2,19.566082802547772,46.34753184713376,4.558403962736676
Exit_3,26.52269108280255,56.74761146496815,4.513296352070608
Exit_4,29.319267515923567,60.8578821656051,4.495676584304518
Exit_5,30.911624203821656,62.07205414012739,4.491009098709009
Exit_6,34.57404458598726,66.41122611464968,4.45930936533934
Exit_7,40.53542993630573,71.10867834394904,4.415601414480027
Exit_8,44.91441082802548,76.71178343949045,4.375261999239587
Exit_9,46.70581210191083,78.45342356687898,4.3617047352396
Exit_10,68.34195859872611,92.05812101910828,4.0888812056012975
Exit_11,72.66122611464968,93.88933121019109,4.029813643473728
Exit_12,77.03025477707007,95.37221337579618,3.9689914830930673
Exit_13,78.5828025477707,96.05891719745223,3.9471329473386145
Exit_14,79.56807324840764,96.32762738853503,3.931400601271611
Exit_15,80.46377388535032,96.4968152866242,3.9204836863621026
Exit_16,86.046974522293,97.5517515923567,3.8094986472160195
Exit_17,87.390525477707,97.94984076433121,0.5369686720667372
