Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,14.87858280254777,36.62420382165605,5.265569765856312
Exit_2,16.28184713375796,37.65923566878981,5.2645876848014295
Exit_3,21.855095541401273,46.45700636942675,5.228161678192722
Exit_4,23.845541401273884,48.68630573248408,5.217959115459661
Exit_5,24.61186305732484,50.019904458598724,5.215473214532159
Exit_6,25.268710191082803,50.46775477707006,5.213124481735716
Exit_7,29.408837579617835,55.7921974522293,5.185641741297047
Exit_8,33.379777070063696,60.82802547770701,5.158485649497646
Exit_9,37.07205414012739,64.54020700636943,5.136119800008786
Exit_10,56.12062101910828,80.46377388535032,4.9019733781267885
Exit_11,60.23089171974522,83.18073248407643,4.846815270223435
Exit_12,64.37101910828025,86.03702229299363,4.795674740129216
Exit_13,65.87380573248407,86.90286624203821,4.775106141521673
Exit_14,67.03821656050955,87.67914012738854,4.761051420952864
Exit_15,74.52229299363057,91.38136942675159,4.637006176505119
Exit_16,78.6624203821656,93.52109872611464,0.9057838603569444
