Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,17.426353503184714,39.98805732484077,5.254209466800568
Exit_2,18.55095541401274,41.73964968152866,5.2513740715707184
Exit_3,25.437898089171973,50.9156050955414,5.203858411995468
Exit_4,27.67714968152866,53.7718949044586,5.189337690924384
Exit_5,28.72213375796178,54.88654458598726,5.185049020560684
Exit_6,33.55891719745223,60.65883757961783,5.148226871611966
Exit_7,37.25119426751592,65.31648089171975,5.112864855748073
Exit_8,41.15246815286624,69.27746815286625,5.083144306377241
Exit_9,59.136146496815286,81.85708598726114,4.856914544561107
Exit_10,61.99243630573248,84.36504777070064,4.81113905208126
Exit_11,65.27667197452229,86.34554140127389,4.766836211939526
Exit_12,72.30294585987261,89.68949044585987,4.648688462129824
Exit_13,76.63216560509554,92.20740445859873,1.001743938323039
