Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,14.301353503184714,34.8328025477707,5.268377398229708
Exit_2,15.475716560509554,37.55971337579618,5.2642229681561705
Exit_3,16.60031847133758,38.62460191082803,5.263214612462718
Exit_4,22.39251592356688,46.884952229299365,5.225574295991545
Exit_5,24.243630573248407,49.18391719745223,5.214694518192559
Exit_6,25.238853503184714,50.53742038216561,5.2122917448639114
Exit_7,25.766321656050955,51.40326433121019,5.21067026466321
Exit_8,29.866640127388536,56.63813694267516,5.182498834695027
Exit_9,33.92714968152866,61.27587579617835,5.154697035528292
Exit_10,37.24124203821656,64.77906050955414,5.131885713832394
Exit_11,56.25,80.10549363057325,4.89905642248263
Exit_12,60.67874203821656,83.56886942675159,4.8456180414576435
Exit_13,64.31130573248407,85.7782643312102,4.795537149830229
Exit_14,65.76433121019109,86.79339171974522,4.774625046238018
Exit_15,66.79936305732484,87.67914012738854,4.760708432288686
Exit_16,73.91520700636943,90.96337579617834,4.639549191590327
Exit_17,78.08519108280255,93.03343949044586,0.9439039292988504
