Exit,TOP-1,TOP-5,Loss
Exit_1,4.48845541401274,16.172372611465,5.29552938376263
Exit_2,4.69745222929936,16.6500796178344,5.29651766066339
Exit_3,8.84753184713376,24.8805732484076,5.29039053400611
Exit_4,9.62380573248408,25.8757961783439,5.29216752993833
Exit_5,9.34514331210191,26.3634554140127,5.29446051530777
Exit_6,16.8491242038217,38.7838375796178,5.26830124399465
Exit_7,18.4912420382166,41.0330414012739,5.26774369683235
Exit_8,18.1827229299363,40.734474522293,5.27505732797513
Exit_9,27.2292993630573,52.9259554140127,5.20659012399661
Exit_10,31.140525477707,57.6333598726115,5.17931635668323
Exit_11,35.390127388535,62.0421974522293,5.15350633366093
Exit_12,55.1751592356688,79.5282643312102,4.90022825435468
Exit_13,59.2356687898089,82.3845541401274,4.85177878665317
Exit_14,62.8781847133758,84.6536624203822,4.80358415044797
Exit_15,72.3029458598726,89.4108280254777,4.6536065059103
Exit_16,76.5226910828026,92.1377388535032,1.00439908663938
