Temp: 1,Exit :0,0: bin0(<0.2),Samples: 1949,accuracy: 0.153,avg_conf: 0.146
Temp: 1,Exit :0,1: bin1(<0.4),Samples: 4040,accuracy: 0.354,avg_conf: 0.301
Temp: 1,Exit :0,2: bin2(<0.6),Samples: 4312,accuracy: 0.6,avg_conf: 0.5
Temp: 1,Exit :0,3: bin3(<0.8),Samples: 6599,accuracy: 0.875,avg_conf: 0.716
Temp: 1,Exit :0,4: bin4(<1.0),Samples: 33084,accuracy: 0.992,avg_conf: 0.897

Temp: 1.0,Exit :0,0: bin0(<0.2),Samples: 1899,accuracy: 0.159,avg_conf: 0.145
Temp: 1.0,Exit :0,1: bin1(<0.4),Samples: 4012,accuracy: 0.357,avg_conf: 0.302
Temp: 1.0,Exit :0,2: bin2(<0.6),Samples: 4379,accuracy: 0.623,avg_conf: 0.501
Temp: 1.0,Exit :0,3: bin3(<0.8),Samples: 6621,accuracy: 0.876,avg_conf: 0.717
Temp: 1.0,Exit :0,4: bin4(<1.0),Samples: 33073,accuracy: 0.992,avg_conf: 0.897

Temp: 2.0,Exit :0,0: bin0(<0.2),Samples: 18558,accuracy: 0.646,avg_conf: 0.133
Temp: 2.0,Exit :0,1: bin1(<0.4),Samples: 30219,accuracy: 0.988,avg_conf: 0.258
Temp: 2.0,Exit :0,2: bin2(<0.6),Samples: 1157,accuracy: 0.998,avg_conf: 0.455
Temp: 2.0,Exit :0,3: bin3(<0.8),Samples: 48,accuracy: 1.0,avg_conf: 0.661
Temp: 2.0,Exit :0,4: bin4(<1.0),Samples: 2,accuracy: 1.0,avg_conf: 0.808

Temp: 3.0,Exit :0,0: bin0(<0.2),Samples: 49854,accuracy: 0.862,avg_conf: 0.086
Temp: 3.0,Exit :0,1: bin1(<0.4),Samples: 128,accuracy: 1.0,avg_conf: 0.228
Temp: 3.0,Exit :0,2: bin2(<0.6),Samples: 2,accuracy: 1.0,avg_conf: 0.416
Temp: 3.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 3.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 4.0,Exit :0,0: bin0(<0.2),Samples: 49983,accuracy: 0.86,avg_conf: 0.051
Temp: 4.0,Exit :0,1: bin1(<0.4),Samples: 1,accuracy: 1.0,avg_conf: 0.207
Temp: 4.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 5.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.858,avg_conf: 0.037
Temp: 5.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 6.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.863,avg_conf: 0.03
Temp: 6.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 7.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.857,avg_conf: 0.026
Temp: 7.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 8.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.865,avg_conf: 0.023
Temp: 8.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 9.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.862,avg_conf: 0.021
Temp: 9.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

