Temp: 1,Exit :0,0: bin0(<0.2),Samples: 1785,accuracy: 0.168,avg_conf: 0.144
Temp: 1,Exit :0,1: bin1(<0.4),Samples: 3823,accuracy: 0.359,avg_conf: 0.302
Temp: 1,Exit :0,2: bin2(<0.6),Samples: 4068,accuracy: 0.613,avg_conf: 0.5
Temp: 1,Exit :0,3: bin3(<0.8),Samples: 6097,accuracy: 0.864,avg_conf: 0.715
Temp: 1,Exit :0,4: bin4(<1.0),Samples: 34211,accuracy: 0.991,avg_conf: 0.903

Temp: 1.0,Exit :0,0: bin0(<0.2),Samples: 1823,accuracy: 0.165,avg_conf: 0.143
Temp: 1.0,Exit :0,1: bin1(<0.4),Samples: 3717,accuracy: 0.353,avg_conf: 0.301
Temp: 1.0,Exit :0,2: bin2(<0.6),Samples: 4071,accuracy: 0.601,avg_conf: 0.501
Temp: 1.0,Exit :0,3: bin3(<0.8),Samples: 5932,accuracy: 0.863,avg_conf: 0.716
Temp: 1.0,Exit :0,4: bin4(<1.0),Samples: 34441,accuracy: 0.992,avg_conf: 0.904

Temp: 2.0,Exit :0,0: bin0(<0.2),Samples: 16622,accuracy: 0.638,avg_conf: 0.132
Temp: 2.0,Exit :0,1: bin1(<0.4),Samples: 31538,accuracy: 0.987,avg_conf: 0.263
Temp: 2.0,Exit :0,2: bin2(<0.6),Samples: 1700,accuracy: 0.998,avg_conf: 0.46
Temp: 2.0,Exit :0,3: bin3(<0.8),Samples: 120,accuracy: 1.0,avg_conf: 0.657
Temp: 2.0,Exit :0,4: bin4(<1.0),Samples: 4,accuracy: 1.0,avg_conf: 0.855

Temp: 3.0,Exit :0,0: bin0(<0.2),Samples: 49729,accuracy: 0.867,avg_conf: 0.088
Temp: 3.0,Exit :0,1: bin1(<0.4),Samples: 253,accuracy: 1.0,avg_conf: 0.233
Temp: 3.0,Exit :0,2: bin2(<0.6),Samples: 2,accuracy: 1.0,avg_conf: 0.45
Temp: 3.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 3.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 4.0,Exit :0,0: bin0(<0.2),Samples: 49980,accuracy: 0.87,avg_conf: 0.053
Temp: 4.0,Exit :0,1: bin1(<0.4),Samples: 4,accuracy: 1.0,avg_conf: 0.23
Temp: 4.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 5.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.87,avg_conf: 0.038
Temp: 5.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 6.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.868,avg_conf: 0.031
Temp: 6.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 7.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.869,avg_conf: 0.026
Temp: 7.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 8.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.869,avg_conf: 0.023
Temp: 8.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 9.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.868,avg_conf: 0.021
Temp: 9.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

