Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,22.213375796178344,49.47253184713376,3.38369856366686
Exit_2,22.969745222929937,51.00517515923567,3.288356793154577
Exit_3,32.265127388535035,63.34593949044586,2.812754526259793
Exit_4,34.57404458598726,66.97850318471338,2.640039653535102
Exit_5,36.16640127388535,68.22253184713375,2.584289055721016
Exit_6,41.74960191082803,73.10907643312102,2.3284885344231965
Exit_7,47.531847133757964,78.35390127388536,2.054481802472643
Exit_8,52.358678343949045,82.4343152866242,1.8485930915091449
Exit_9,54.13017515923567,83.90724522292993,1.7801183720303189
Exit_10,72.10390127388536,93.57085987261146,1.0216819461743543
Exit_11,75.57722929936305,94.89450636942675,0.8897302818905776
Exit_12,79.31926751592357,96.10867834394904,0.7648048038315621
Exit_13,80.07563694267516,96.42714968152866,0.7225073372862142
Exit_14,81.05095541401273,96.6062898089172,0.6938462849635227
Exit_15,81.6281847133758,96.74562101910828,0.6746509059978898
Exit_16,86.2062101910828,97.64132165605096,0.5349034547426139
Exit_17,87.390525477707,97.94984076433121,0.5369686720667372
