Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,22.352707006369428,49.22372611464968,3.3721851771044884
Exit_2,23.417595541401273,51.70183121019108,3.265254676721658
Exit_3,31.956608280254777,63.435509554140125,2.8135274443656777
Exit_4,34.79299363057325,66.7296974522293,2.637272726957965
Exit_5,35.98726114649681,68.33200636942675,2.580945995962544
Exit_6,36.65406050955414,68.49124203821655,2.555858607504778
Exit_7,43.013535031847134,74.18391719745223,2.256707209690361
Exit_8,48.92515923566879,79.47850318471338,1.9829301659468632
Exit_9,53.2046178343949,83.43949044585987,1.7880796383900248
Exit_10,72.39251592356688,93.63057324840764,0.9919695785850476
Exit_11,75.86584394904459,95.13335987261146,0.8650815475518536
Exit_12,79.4984076433121,96.18829617834395,0.7445840095258822
Exit_13,80.63296178343948,96.51671974522293,0.7064603813894236
Exit_14,81.16042993630573,96.73566878980891,0.6807483569451958
Exit_15,85.97730891719745,97.68113057324841,0.5398974450910168
Exit_16,87.390525477707,97.9796974522293,0.5353378091648127
