Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,16.839171974522294,38.654458598726116,3.971881760153801
Exit_2,18.351910828025478,41.530652866242036,3.8518120817318082
Exit_3,19.78503184713376,43.202627388535035,3.783945279516232
Exit_4,27.060111464968152,52.31886942675159,3.339831818440917
Exit_5,29.48845541401274,55.47372611464968,3.1949874246196384
Exit_6,30.423964968152866,56.35947452229299,3.1444917970402226
Exit_7,30.573248407643312,56.71775477707006,3.1256399617832935
Exit_8,35.41003184713376,62.80851910828026,2.861556637818646
Exit_9,39.45063694267516,66.97850318471338,2.645913294166516
Exit_10,42.764729299363054,70.83996815286625,2.476139685150924
Exit_11,59.723328025477706,82.47412420382166,1.6788332113035165
Exit_12,63.077229299363054,85.28065286624204,1.5072708556986159
Exit_13,66.5107484076433,86.92277070063695,1.3569904298159727
Exit_14,67.35668789808918,88.13694267515923,1.3005062508734928
Exit_15,68.50119426751593,88.34593949044586,1.2638488829515542
Exit_16,74.25358280254777,91.33160828025478,1.0483023233854087
Exit_17,78.08519108280255,93.03343949044586,0.9439039292988504
