Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,19.43670382165605,42.40644904458599,3.8032839951241852
Exit_2,20.461783439490446,44.655652866242036,3.7293422191765657
Exit_3,27.965764331210192,53.65246815286624,3.2835934754389866
Exit_4,30.095541401273884,56.13057324840764,3.1454391661722947
Exit_5,31.100716560509554,57.016321656050955,3.104572103281689
Exit_6,36.27587579617835,63.097133757961785,2.8222754358486006
Exit_7,40.32643312101911,67.5656847133758,2.603484708792085
Exit_8,43.988853503184714,71.3375796178344,2.4302196274897097
Exit_9,60.38017515923567,83.0812101910828,1.6405629733945155
Exit_10,63.6046974522293,85.49960191082802,1.4827255143481455
Exit_11,66.40127388535032,87.06210191082802,1.342003419330925
Exit_12,67.3765923566879,87.89808917197452,1.2958193309367843
Exit_13,74.0047770700637,90.82404458598727,1.072847014779498
Exit_14,77.62738853503184,92.59554140127389,0.963695535234585
