Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,16.66003184713376,39.12221337579618,5.256716363748927
Exit_2,17.943869426751593,40.863853503184714,5.254686686643369
Exit_3,24.532245222929937,49.18391719745223,5.209628138572547
Exit_4,26.970541401273884,52.42834394904459,5.195519228649747
Exit_5,27.776671974522294,53.37380573248408,5.191942758620924
Exit_6,32.27507961783439,59.20581210191083,5.158439414516376
Exit_7,36.15644904458599,63.57484076433121,5.126000443841241
Exit_8,39.84872611464968,67.46616242038216,5.099680001568642
Exit_9,58.21058917197452,81.59832802547771,4.862486851443151
Exit_10,62.10191082802548,84.23566878980891,4.812798673180258
Exit_11,65.19705414012739,86.33558917197452,4.769393471395894
Exit_12,72.92993630573248,90.4359076433121,4.645151302313349
Exit_13,77.19944267515923,92.74482484076434,0.9657463406681255
