Exit,TOP-1,TOP-5,Loss
Exit_1,0.567277070063694,2.59753184713376,5.29826399323287
Exit_2,0.626990445859873,2.46815286624204,5.29832979372353
Exit_3,0.457802547770701,2.41839171974522,5.2982647100072
Exit_4,0.786226114649682,3.06528662420382,5.29824120831338
Exit_5,0.567277070063694,2.77667197452229,5.29832013245601
Exit_6,0.84593949044586,3.64251592356688,5.29808240939098
Exit_7,0.826035031847134,3.67237261146497,5.29813303005923
Exit_8,0.686703821656051,3.53304140127389,5.29813245603233
Exit_9,1.9406847133758,3.62261146496815,5.28739246441301
Exit_10,1.97054140127389,3.13495222929936,5.28851137343486
Exit_11,1.2937898089172,3.98089171974522,5.29329758844558
Exit_12,7.59355095541401,9.15605095541401,5.23479195309293
Exit_13,7.1656050955414,8.18073248407643,5.23725899009948
Exit_14,7.7328821656051,8.89729299363057,5.23200385585712
Exit_15,22.5915605095541,26.1843152866242,5.08186108595247
Exit_16,76.5226910828026,92.1377388535032,1.00439908663938
