Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,18.799761146496817,43.988853503184714,4.561279254354489
Exit_2,19.89450636942675,46.695859872611464,4.555883058317148
Exit_3,26.721735668789808,56.99641719745223,4.513621321149692
Exit_4,29.398885350318473,60.88773885350319,4.494711426412984
Exit_5,30.772292993630572,62.121815286624205,4.490525339819063
Exit_6,31.21019108280255,62.66918789808917,4.488808577227744
Exit_7,35.8578821656051,67.33678343949045,4.449646564046288
Exit_8,41.620222929936304,73.01950636942675,4.3985954181403875
Exit_9,46.51671974522293,77.92595541401273,4.358901467292932
Exit_10,69.32722929936305,92.3765923566879,4.068302816646114
Exit_11,73.63654458598727,94.32722929936305,4.009110394556811
Exit_12,77.89609872611464,95.71058917197452,3.9522914248666945
Exit_13,79.43869426751593,96.1982484076433,3.9311807307468096
Exit_14,80.09554140127389,96.55652866242038,3.9180179720471617
Exit_15,85.828025477707,97.63136942675159,3.809903776569731
Exit_16,87.390525477707,97.9796974522293,0.5353377953076818
