Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,21.019108280254777,47.56170382165605,4.548130287486277
Exit_2,22.91003184713376,51.22412420382165,4.538672772182781
Exit_3,32.1656050955414,62.69904458598726,4.482046968618016
Exit_4,35.22093949044586,66.53065286624204,4.455242481960613
Exit_5,36.1265923566879,67.4562101910828,4.447355953751097
Exit_6,42.96377388535032,74.47253184713375,4.388203596613209
Exit_7,48.49721337579618,78.79179936305732,4.328589973935656
Exit_8,53.144904458598724,82.72292993630573,4.2833397525131325
Exit_9,72.46218152866243,93.68033439490446,4.010447790668269
Exit_10,75.27866242038216,94.87460191082802,3.964408089400856
Exit_11,78.71218152866243,95.82006369426752,3.918099246966611
Exit_12,84.69347133757962,97.3328025477707,3.8129954474746803
Exit_13,86.02707006369427,97.61146496815287,0.5731039628101762
