Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,18.023487261146496,43.093152866242036,4.562408787429712
Exit_2,18.172770700636942,43.202627388535035,4.561305112899489
Exit_3,20.322452229299362,47.641321656050955,4.555538128895365
Exit_4,27.52786624203822,57.7328821656051,4.510249617752756
Exit_5,30.83200636942675,62.2312898089172,4.489290125051122
Exit_6,31.73765923566879,63.18670382165605,4.485500879348463
Exit_7,31.73765923566879,64.13216560509554,4.483019995841251
Exit_8,37.878184713375795,69.48646496815287,4.43977820645472
Exit_9,43.093152866242036,74.37300955414013,4.391052033491196
Exit_10,48.1687898089172,79.3093152866242,4.3481520573804335
Exit_11,69.91441082802548,92.65525477707007,4.060691306545476
Exit_12,73.88535031847134,94.53622611464968,4.0049494223989495
Exit_13,77.89609872611464,95.91958598726114,3.949676674642381
Exit_14,79.50835987261146,96.34753184713375,3.9284666541275706
Exit_15,80.4140127388535,96.57643312101911,3.914969306083242
Exit_16,85.7782643312102,97.54179936305732,3.807886978623214
Exit_17,87.1218152866242,97.88017515923566,0.547968047060025
