Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,19.944267515923567,45.322452229299365,4.552019665954979
Exit_2,21.81528662420382,49.74124203821656,4.5458627779772325
Exit_3,29.88654458598726,60.390127388535035,4.494073846537596
Exit_4,33.389729299363054,64.6297770700637,4.466988247670945
Exit_5,34.335191082802545,66.14251592356688,4.460444040359206
Exit_6,40.00796178343949,71.82523885350318,4.409802482386303
Exit_7,46.36743630573248,76.85111464968153,4.350882235606005
Exit_8,50.88574840764331,81.71775477707007,4.3054370971242335
Exit_9,72.0640923566879,93.0732484076433,4.0213915284272215
Exit_10,75.50756369426752,95.203025477707,3.971405169007125
Exit_11,78.93113057324841,96.08877388535032,3.923097033409556
Exit_12,84.88256369426752,97.35270700636943,3.812959464492312
Exit_13,86.52468152866243,97.98964968152866,0.5489425149503028
